iter	RMSE
0	294.3823161
1	290.8229382
2	287.1561111
3	282.8797096
4	278.9610618
5	275.3714086
6	272.1416497
7	268.3199242
8	264.3831469
9	260.7097707
10	257.0430585
11	253.8435273
12	250.0835608
13	246.6362619
14	243.3651568
15	240.1541708
16	236.9236626
17	233.6140456
18	230.4462486
19	226.902233
20	223.6443556
21	220.3597033
22	217.635373
23	214.4595415
24	211.4168392
25	208.3408214
26	205.4647967
27	202.5925236
28	200.0594901
29	197.1439966
30	194.6691334
31	192.1065388
32	189.8100659
33	187.0958038
34	184.4731589
35	181.8389194
36	179.3180542
37	176.904793
38	174.8752208
39	172.5203466
40	170.400243
41	168.0745465
42	165.9594278
43	164.0042336
44	161.7431804
45	159.9123665
46	157.879545
47	156.0019463
48	153.9460529
49	151.9768341
50	149.9056868
51	147.9746942
52	146.2731962
53	144.4558974
54	142.9876892
55	141.2016657
56	139.4745334
57	137.6024551
58	136.1289136
59	134.2993931
60	132.7890702
61	130.9177586
62	129.2298541
63	127.6122682
64	126.2138279
65	124.5408324
66	123.1410947
67	121.6221202
68	120.1880994
69	118.7532139
70	117.4195572
71	115.9580558
72	114.5462763
73	113.3049815
74	111.9060417
75	110.7894636
76	109.4292041
77	108.0186236
78	106.7663109
79	105.4647432
80	104.2122807
81	103.0583943
82	101.7758283
83	100.5841744
84	99.29392352
85	98.13313716
86	97.19765907
87	96.08479304
88	94.89889874
89	93.72045108
90	92.86255825
91	91.70045297
92	90.52763715
93	89.53350815
94	88.61332173
95	87.79660245
96	86.79361529
97	86.10544088
98	85.11446285
99	84.12158872
100	83.34843868
101	82.35161675
102	81.58786753
103	80.80812543
104	79.81417126
105	78.9699713
106	78.37776181
107	77.5868374
108	76.67303775
109	75.83848429
110	74.98816419
111	74.26542417
112	73.51419885
113	72.86058761
114	72.0534269
115	71.28326518
116	70.42160455
117	69.75260229
118	69.01892789
119	68.30497497
120	67.53298168
121	66.89787967
122	66.29287329
123	65.79117666
124	65.10686957
125	64.49675368
126	63.77324042
127	63.06034021
128	62.50697382
129	61.88751585
130	61.23158269
131	60.6995105
132	60.27694292
133	59.66366677
134	58.9973371
135	58.34428975
136	57.78448998
137	57.2956437
138	56.67380387
139	56.09276828
140	55.5970527
141	55.06180001
142	54.60437127
143	54.12009576
144	53.71126599
145	53.20585726
146	52.72330928
147	52.28695714
148	51.83760508
149	51.38910672
150	51.02366778
151	50.64259163
152	50.15553071
153	49.70781605
154	49.32210212
155	48.93745696
156	48.49911434
157	48.09063723
158	47.7150907
159	47.36955167
160	47.01856203
161	46.65083274
162	46.30665142
163	45.86950254
164	45.5130008
165	45.1945209
166	44.85033493
167	44.53019668
168	44.17894371
169	43.83660198
170	43.51858377
171	43.19054502
172	42.90307324
173	42.67017618
174	42.35034319
175	42.12128688
176	41.83326542
177	41.58438136
178	41.26510829
179	40.99595175
180	40.70593242
181	40.41376897
182	40.19722674
183	39.87972084
184	39.61794045
185	39.36022046
186	39.05751568
187	38.77421765
188	38.47699102
189	38.22763902
190	37.98080449
191	37.77874566
192	37.49458944
193	37.28827155
194	37.01264123
195	36.80983482
196	36.57094853
197	36.32674735
198	36.063852
199	35.8202427
200	35.56823521
201	35.2954987
202	35.11014587
203	34.92648385
204	34.74449877
205	34.49325387
206	34.24336121
207	33.99024197
208	33.8137018
209	33.58804206
210	33.35366039
211	33.10894872
212	32.8590177
213	32.68902219
214	32.52056855
215	32.29646358
216	32.07740928
217	31.86379837
218	31.70056721
219	31.5388154
220	31.30966127
221	31.08577666
222	30.8612983
223	30.65428639
224	30.49847926
225	30.30080901
226	30.14758716
227	29.99575006
228	29.78876184
229	29.59397856
230	29.44571308
231	29.29878794
232	29.11347798
233	28.91255131
234	28.76910932
235	28.57645966
236	28.40539929
237	28.21611719
238	28.03753917
239	27.85167985
240	27.68521837
241	27.54941624
242	27.4148396
243	27.2204081
244	27.05249924
245	26.86579925
246	26.70881542
247	26.57935288
248	26.39998307
249	26.21496401
250	26.08845204
251	25.92424695
252	25.75912392
253	25.59227241
254	25.41839405
255	25.24622532
256	25.12533749
257	24.95896261
258	24.81668759
259	24.6579526
260	24.54082809
261	24.37180603
262	24.22180806
263	24.06017285
264	23.9465654
265	23.78732078
266	23.63282574
267	23.48909643
268	23.33736696
269	23.20093878
270	23.06573384
271	22.93174097
272	22.78502237
273	22.64875186
274	22.50498049
275	22.35908088
276	22.22952766
277	22.10252055
278	22.00036579
279	21.89912372
280	21.77484391
281	21.67529262
282	21.55290751
283	21.42144157
284	21.29691945
285	21.16420045
286	21.02978296
287	20.89670352
288	20.77655468
289	20.6615819
290	20.53188312
291	20.43963088
292	20.31475509
293	20.18823864
294	20.07793779
295	19.9885296
296	19.86486532
297	19.77688877
298	19.68970098
299	19.56852053
300	19.44855545
301	19.32979227
302	19.22626448
303	19.1095913
304	19.00110882
305	18.88651274
306	18.78658574
307	18.67400685
308	18.56255574
309	18.48231141
310	18.37255586
311	18.26390094
312	18.15633467
313	18.04984526
314	17.94442107
315	17.84871638
316	17.74520325
317	17.66968237
318	17.57009953
319	17.46916202
320	17.3954232
321	17.2960389
322	17.19765238
323	17.10025298
324	17.0038302
325	16.90837367
326	16.81387316
327	16.74397994
328	16.66098484
329	16.59228422
330	16.52420549
331	16.45674375
332	16.36596497
333	16.27610686
334	16.21025132
335	16.12179733
336	16.03424225
337	15.96996042
338	15.88377851
339	15.7984743
340	15.71599999
341	15.64132771
342	15.5673397
343	15.48506274
344	15.41241005
345	15.34042406
346	15.26028436
347	15.18096526
348	15.11091511
349	15.04150907
350	14.9642557
351	14.88958545
352	14.81387998
353	14.7469452
354	14.67262055
355	14.59906004
356	14.52625567
357	14.46171847
358	14.39024628
359	14.31950988
360	14.24950156
361	14.18021373
362	14.11163891
363	14.0505457
364	13.98323232
365	13.91661284
366	13.85718371
367	13.79179309
368	13.73345369
369	13.67565731
370	13.61839933
371	13.56167517
372	13.50548028
373	13.44981017
374	13.39466038
375	13.34002649
376	13.28590411
377	13.2322889
378	13.17917655
379	13.12007778
380	13.06794844
381	13.01630933
382	12.96515628
383	12.91448516
384	12.86429188
385	12.81457238
386	12.76532265
387	12.71653868
388	12.66821654
389	12.62035228
390	12.57294202
391	12.52598191
392	12.47946812
393	12.43339685
394	12.38776434
395	12.34256686
396	12.2978007
397	12.25346219
398	12.20954768
399	12.16605358
400	12.12297628
401	12.08031223
402	12.03805791
403	11.99620982
404	11.95476448
405	11.91371845
406	11.87306831
407	11.83281068
408	11.79294219
409	11.75345949
410	11.71435929
411	11.6756383
412	11.63729325
413	11.59932091
414	11.56171807
415	11.52448155
416	11.48760818
417	11.45109484
418	11.4149384
419	11.37913578
420	11.34368392
421	11.30857976
422	11.27382031
423	11.23940255
424	11.20532352
425	11.17158027
426	11.13816987
427	11.10508942
428	11.07233602
429	11.03990683
430	11.00779899
431	10.9760097
432	10.94453614
433	10.91337556
434	10.88252518
435	10.85198228
436	10.82174413
437	10.79180806
438	10.76217138
439	10.73283143
440	10.70378559
441	10.67503124
442	10.64656578
443	10.61838664
444	10.59049126
445	10.56287711
446	10.53554167
447	10.50848243
448	10.48169692
449	10.45518268
450	10.42893726
451	10.40295824
452	10.3772432
453	10.35178977
454	10.32659557
455	10.30165824
456	10.27697546
457	10.2525449
458	10.22836426
459	10.20443127
460	10.18074364
461	10.15729915
462	10.13409555
463	10.11113062
464	10.08840218
465	10.06590804
466	10.04364604
467	10.02161402
468	9.999809865
469	9.978231447
470	9.956876672
471	9.935743455
472	9.91482973
473	9.887378285
474	9.86030525
475	9.840012262
476	9.813510322
477	9.79362595
478	9.767683667
479	9.742097987
480	9.716863003
481	9.691972931
482	9.667422112
483	9.643205007
484	9.619316192
485	9.595750359
486	9.572502308
487	9.54956695
488	9.526939299
489	9.504614472
490	9.482587687
491	9.460854256
492	9.43940959
493	9.418249188
494	9.397368643
495	9.376763632
496	9.356429921
497	9.340454908
498	9.320549206
499	9.300905246
500	9.281519042
501	9.262386683
502	9.243504335
503	9.224868238
504	9.206474701
505	9.188320106
506	9.170400902
507	9.152713605
508	9.135254796
509	9.118021118
510	9.101009278
511	9.084216043
512	9.067638238
513	9.051272747
514	9.035116508
515	9.019166516
516	9.003419819
517	8.987873518
518	8.972524763
519	8.957370756
520	8.942408748
521	8.927636037
522	8.913049967
523	8.898647928
524	8.884427356
525	8.870385729
526	8.856520567
527	8.842829434
528	8.829309933
529	8.815959706
530	8.802776438
531	8.789757846
532	8.776901691
533	8.764205764
534	8.751667898
535	8.739285956
536	8.727057839
537	8.714981478
538	8.703054839
539	8.691275921
540	8.648282641
541	8.636735785
542	8.625331868
543	8.614068983
544	8.602945253
545	8.560893694
546	8.549989107
547	8.539219182
548	8.52858213
549	8.487364123
550	8.476936562
551	8.46663759
552	8.456465504
553	8.446418627
554	8.406088167
555	8.397301527
556	8.388611348
557	8.380016633
558	8.340468347
559	8.332036797
560	8.323697907
561	8.315450717
562	8.276664625
563	8.268573699
564	8.260571797
565	8.222465307
566	8.214614724
567	8.206850582
568	8.199171985
569	8.16179264
570	8.154259033
571	8.146808502
572	8.110056077
573	8.102744097
574	8.095512836
575	8.088361453
576	8.052302928
577	8.045284446
578	8.038343585
579	8.0029103
580	7.996098292
581	7.989361724
582	7.982699805
583	7.947930093
584	7.941391821
585	7.934926106
586	7.900756295
587	7.894410501
588	7.888135236
589	7.881929759
590	7.848395064
591	7.842304695
592	7.836282167
593	7.803323456
594	7.797412595
595	7.791567689
596	7.759174051
597	7.753437489
598	7.74776505
599	7.742156049
600	7.710358697
601	7.704853726
602	7.699410434
603	7.668156083
604	7.662735553
605	7.657376721
606	7.652078902
607	7.621410377
608	7.616215613
609	7.611079995
610	7.580941638
611	7.575905635
612	7.570926985
613	7.566005051
614	7.536426043
615	7.531599357
616	7.526827679
617	7.522110401
618	7.493077407
619	7.488451227
620	7.483877819
621	7.455341887
622	7.450856607
623	7.446422532
624	7.442039091
625	7.414025336
626	7.409726229
627	7.40547626
628	7.377939497
629	7.373771146
630	7.369650488
631	7.365576992
632	7.338540055
633	7.334544694
634	7.330595114
635	7.304016225
636	7.300142291
637	7.296312803
638	7.292527261
639	7.266427172
640	7.262714073
641	7.259043643
642	7.233383674
643	7.229783396
644	7.226224553
645	7.200996451
646	7.197505552
647	7.194054892
648	7.190644012
649	7.165865875
650	7.162520085
651	7.15921293
652	7.134850069
653	7.131605967
654	7.128399389
655	7.104444124
656	7.101298633
657	7.09818959
658	7.074634414
659	7.071584558
660	7.068570107
661	7.06559065
662	7.042450687
663	7.039820612
664	7.037220679
665	7.014468446
666	7.011920946
667	6.98952697
668	6.987030711
669	6.984563062
670	6.962542973
671	6.960124847
672	6.957734451
673	6.936081266
674	6.933439648
675	6.930829159
676	6.90953353
677	6.906972304
678	6.90444132
679	6.883496855
680	6.88101363
681	6.878559788
682	6.857960219
683	6.855552678
684	6.853173684
685	6.83291287
686	6.812951904
687	6.79328606
688	6.773910689
689	6.767571684
690	6.748516244
691	6.737620893
692	6.719023383
693	6.712966853
694	6.707057724
695	6.68879937
696	6.676963472
697	6.665277926
698	6.653740506
699	6.636093729
700	6.618458669
701	6.601330791
702	6.584455805
703	6.567829744
704	6.551448699
705	6.535308829
706	6.51940635
707	6.503737541
708	6.48829874
709	6.473086342
710	6.458096801
711	6.443326629
712	6.428772392
713	6.414430712
714	6.400298265
715	6.386371782
716	6.372648045
717	6.359123888
718	6.345796196
719	6.332661905
720	6.319717999
721	6.306961514
722	6.29438953
723	6.281999175
724	6.269787627
725	6.257752105
726	6.245889876
727	6.233504735
728	6.2213081
729	6.209296784
730	6.197467659
731	6.185817655
732	6.174343755
733	6.163042997
734	6.151912473
735	6.140949328
736	6.130150757
737	6.119514006
738	6.109036373
739	6.098715201
740	6.088547884
741	6.078531863
742	6.068664622
743	6.058943694
744	6.049366656
745	6.039931126
746	6.030634769
747	6.021475288
748	6.012450431
749	6.003557984
750	5.994795774
751	5.986161667
752	5.977653568
753	5.969269419
754	5.962825287
755	5.954636931
756	5.948347413
757	5.940350158
758	5.934211248
759	5.926400522
760	5.920408337
761	5.912719773
762	5.905142964
763	5.897676099
764	5.890317401
765	5.883065123
766	5.875917549
767	5.868872994
768	5.861929804
769	5.855086352
770	5.848341042
771	5.841692304
772	5.835138598
773	5.82873825
774	5.822427559
775	5.816205146
776	5.810069654
777	5.804019748
778	5.798054118
779	5.792171474
780	5.786370549
781	5.780650096
782	5.775008888
783	5.769445722
784	5.763959411
785	5.758548791
786	5.753212715
787	5.747950057
788	5.742759708
789	5.73764058
790	5.732591599
791	5.727611712
792	5.722699882
793	5.717855091
794	5.713076336
795	5.70836263
796	5.703713003
797	5.699126503
798	5.69460219
799	5.690139143
800	5.685736452
801	5.681393226
802	5.677108586
803	5.672881669
804	5.668708968
805	5.664594868
806	5.660535983
807	5.656531503
808	5.652577866
809	5.648679729
810	5.644833648
811	5.641038866
812	5.63722742
813	5.633467519
814	5.629758396
815	5.626154511
816	5.622540882
817	5.618975896
818	5.61545883
819	5.611988979
820	5.608565645
821	5.605188142
822	5.601855799
823	5.598567952
824	5.595323949
825	5.592123151
826	5.588964925
827	5.585848652
828	5.582773723
829	5.579739536
830	5.576745502
831	5.57379104
832	5.570875578
833	5.567998555
834	5.565159418
835	5.562357621
836	5.55959263
837	5.556858289
838	5.554159798
839	5.551497601
840	5.548867034
841	5.546271832
842	5.543707368
843	5.541177366
844	5.538677239
845	5.536209706
846	5.533773187
847	5.531367411
848	5.528991854
849	5.526646195
850	5.524329981
851	5.522042846
852	5.519785367
853	5.517554243
854	5.51535296
855	5.513177355
856	5.511030789
857	5.508909241
858	5.506815953
859	5.504749668
860	5.502705635
861	5.500690526
862	5.498697097
863	5.496731828
864	5.49478768
865	5.49287095
866	5.490978825
867	5.489105346
868	5.48725986
869	5.485432541
870	5.483632484
871	5.481850127
872	5.480094326
873	5.478360958
874	5.476643078
875	5.474952245
876	5.473276499
877	5.471627105
878	5.469992411
879	5.468383393
880	5.466794843
881	5.465219016
882	5.463669284
883	5.462131946
884	5.460620037
885	5.459120205
886	5.457645155
887	5.456188794
888	5.454742744
889	5.453321828
890	5.45191096
891	5.450524589
892	5.449148009
893	5.447795309
894	5.44645968
895	5.445132267
896	5.443829025
897	5.442533789
898	5.441262118
899	5.439998248
900	5.43875735
901	5.437532056
902	5.43631316
903	5.435117475
904	5.433928025
905	5.432761206
906	5.431609021
907	5.430461789
908	5.429337382
909	5.428217802
910	5.427120477
911	5.42602786
912	5.424956943
913	5.423928624
914	5.422874669
915	5.421871057
916	5.420842439
917	5.41986292
918	5.418895279
